Rank,Latitude,Longitude,Gap_Score,Current_RSRP,Current_SINR,Predicted_Quality,Gap_Events,Priority
1,21.160201,81.799238,0.997,-87.0,4.0,43.7,1.0,HIGH
2,18.013694,83.273459,0.993,-104.0,0.0,27.7,1.0,HIGH
3,18.063407,83.342659,0.991,-99.0,0.0,32.7,1.0,HIGH
4,21.166176,81.798622,0.989,-92.0,1.0,38.6,1.0,HIGH
5,21.22052,81.737272,0.988,-105.0,-2.0,28.2,2.0,HIGH
6,18.083868,83.375068,0.979,-101.0,0.0,32.0,1.0,HIGH
7,18.052932,83.317362,0.978,-84.0,1.0,44.2,1.0,HIGH
8,17.731203,83.27727,0.973,-86.0,9.0,44.5,1.0,HIGH
9,19.26051,83.403536,0.969,-94.0,10.0,39.6,1.0,HIGH
10,21.268103,81.642182,0.967,-108.0,-9.0,21.5,2.0,HIGH
11,21.267202,81.636216,0.966,-95.0,2.0,32.2,1.0,HIGH
12,18.072313,83.35672,0.964,-111.5,-8.0,20.2,2.0,HIGH
13,21.106058,82.099433,0.962,-102.5,17.5,30.0,2.0,HIGH
14,19.272638,83.406092,0.957,-104.5,0.5,28.1,2.0,HIGH
15,17.75561,83.353155,0.955,-91.0,1.0,42.6,1.0,HIGH
16,21.129838,81.766149,0.949,-109.0,-3.0,25.7,1.0,HIGH
17,18.078261,83.366093,0.939,-84.0,11.0,45.7,1.0,HIGH
18,18.475981,83.351738,0.934,-93.0,-2.0,33.3,1.0,HIGH
19,21.093758,82.113383,0.927,-103.0,-5.0,26.2,1.0,HIGH
20,18.057742,83.331382,0.915,-105.2,-4.8,24.0,4.0,HIGH
21,19.324226,83.41135,0.905,-94.8,2.2,39.6,5.0,HIGH
22,17.980589,83.234989,0.898,-113.7,-0.3,26.3,3.0,HIGH
23,18.008256,83.26617,0.883,-113.0,3.0,26.4,1.0,HIGH
24,21.212155,81.746726,0.882,-107.5,1.0,26.7,6.0,HIGH
25,21.236539,81.717469,0.875,-101.0,-2.6,30.8,5.0,HIGH
